iter	Passed	Remaining
634	3516	51858
635	3522	51858
636	3527	51855
637	3533	51853
638	3539	51847
639	3545	51846
640	3550	51843
641	3556	51840
642	3561	51831
643	3567	51826
644	3573	51823
645	3578	51818
646	3583	51809
647	3587	51770
648	3592	51763
649	3598	51761
650	3603	51749
651	3605	51695
652	3611	51694
653	3616	51681
654	3622	51683
655	3629	51694
656	3635	51702
657	3642	51714
658	3648	51713
659	3654	51711
660	3660	51712
661	3666	51718
662	3672	51717
663	3678	51714
664	3683	51705
665	3688	51699
666	3694	51692
667	3700	51689
668	3708	51731
669	3714	51721
670	3719	51715
671	3725	51717
672	3731	51716
673	3737	51711
674	3742	51707
675	3748	51708
676	3754	51710
677	3760	51701
678	3765	51692
679	3770	51683
680	3776	51678
681	3781	51666
682	3786	51656
683	3792	51654
684	3797	51646
685	3803	51642
686	3809	51635
687	3814	51632
688	3820	51630
689	3825	51622
690	3831	51616
691	3836	51610
692	3842	51603
693	3847	51595
694	3853	51588
695	3858	51581
696	3864	51579
697	3869	51571
698	3875	51565
699	3881	51563
700	3886	51554
701	3892	51550
702	3897	51548
703	3903	51546
704	3909	51542
705	3915	51543
706	3920	51535
707	3926	51537
708	3933	51546
709	3939	51544
710	3945	51547
711	3951	51546
712	3956	51539
713	3962	51535
714	3968	51530
715	3973	51522
716	3978	51512
717	3984	51508
718	3989	51501
719	3995	51494
720	4001	51492
721	4007	51493
722	4012	51488
723	4017	51475
724	4023	51472
725	4029	51468
726	4034	51454
727	4039	51454
728	4045	51450
729	4049	51417
730	4054	51411
731	4059	51401
732	4065	51396
733	4070	51391
734	4076	51384
735	4081	51377
736	4087	51370
737	4092	51365
738	4097	51353
739	4103	51352
740	4108	51341
741	4114	51332
742	4119	51319
743	4124	51314
744	4130	51308
745	4135	51301
746	4140	51293
747	4146	51285
748	4152	51283
749	4157	51277
750	4163	51272
751	4169	51274
752	4174	51268
753	4180	51264
754	4185	51256
755	4191	51247
756	4196	51243
757	4202	51237
758	4208	51233
759	4215	51247
760	4222	51258
761	4227	51255
762	4233	51247
763	4238	51244
764	4245	51247
765	4250	51241
766	4256	51237
767	4261	51230
768	4267	51225
769	4272	51219
770	4278	51211
771	4284	51208
772	4289	51200
773	4294	51191
774	4299	51180
775	4305	51178
776	4310	51169
777	4315	51158
778	4321	51152
779	4326	51144
780	4331	51135
781	4333	51084
782	4339	51076
783	4344	51073
784	4350	51064
785	4355	51059
786	4360	51046
787	4365	51036
788	4371	51034
789	4376	51025
790	4382	51018
791	4388	51023
792	4394	51017
793	4399	51007
794	4405	51003
795	4410	50996
796	4416	50993
797	4421	50989
798	4425	50958
799	4430	50948
800	4432	50906
801	4438	50898
802	4444	50899
803	4450	50903
804	4456	50903
805	4463	50912
806	4468	50903
807	4474	50899
808	4479	50894
809	4484	50885
810	4491	50887
811	4496	50879
812	4502	50877
